backbone,filepath,relative_path,source_folder,filename,sample_rate,num_samples,predicted_index,predicted_label,predicted_probability,true_index,is_correct,inference_time_sec,prob_Mode1,prob_Mode2,prob_Mode3,prob_Mode4,prob_Mode5,prob_Mode6,prob_Mode7,prob_Mode8,prob_Off,prob_On
BC-ResNet-3,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173253_86.wav,Mode1/audio_20250702_173253_86.wav,Mode1,audio_20250702_173253_86.wav,48000,48000,0,Mode1,0.5554272532463074,0,True,0.12949074999778531,0.5554272532463074,0.007352098822593689,0.032657455652952194,1.2470890396798495e-05,0.2798929214477539,0.10734155774116516,0.014083455316722393,1.500565394962905e-05,0.0029991327319294214,0.0002186001802328974
BC-ResNet-3,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173254_87.wav,Mode1/audio_20250702_173254_87.wav,Mode1,audio_20250702_173254_87.wav,48000,48000,0,Mode1,0.9787550568580627,0,True,0.004249542020261288,0.9787550568580627,0.013932116329669952,0.0001919321366585791,1.5873140000621788e-05,0.001275098999030888,0.000619767582975328,0.0033046468161046505,2.301455424458254e-06,0.001870261156000197,3.313620254630223e-05
BC-ResNet-3,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173255_89.wav,Mode1/audio_20250702_173255_89.wav,Mode1,audio_20250702_173255_89.wav,48000,48000,0,Mode1,0.973303496837616,0,True,0.004261124995537102,0.973303496837616,0.02405874989926815,6.164113437989727e-05,3.161469066981226e-05,0.0004691362555604428,7.562217069789767e-05,0.0007378417067229748,4.6471845962514635e-06,0.0011891762260347605,6.805550947319716e-05
BC-ResNet-3,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173256_93.wav,Mode1/audio_20250702_173256_93.wav,Mode1,audio_20250702_173256_93.wav,48000,48000,0,Mode1,0.9944994449615479,0,True,0.003524541010847315,0.9944994449615479,0.004335773643106222,2.1716839910368435e-05,2.153062268916983e-05,4.750691732624546e-05,8.833265019347891e-05,0.000341663631843403,1.4588333669962594e-06,0.000616870413068682,2.5643948902143165e-05
BC-ResNet-3,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173257_94.wav,Mode1/audio_20250702_173257_94.wav,Mode1,audio_20250702_173257_94.wav,48000,48000,0,Mode1,0.9959883093833923,0,True,0.003349666978465393,0.9959883093833923,0.0028599391225725412,2.0194322132738307e-05,2.4221584681072272e-05,3.4739263355731964e-05,2.5401634047739208e-05,0.0005374515894800425,1.564515741847572e-06,0.00045024443534202874,5.7861700042849407e-05
BC-ResNet-3,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173258_96.wav,Mode1/audio_20250702_173258_96.wav,Mode1,audio_20250702_173258_96.wav,48000,48000,0,Mode1,0.999559223651886,0,True,0.003245041996706277,0.999559223651886,0.00021706236293539405,4.194873326923698e-06,5.160452019481454e-06,1.3728670637647156e-05,1.605056422704365e-05,7.983313844306394e-05,5.407516709965421e-07,9.206728282151744e-05,1.2071716810169164e-05
BC-ResNet-3,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173300_00.wav,Mode1/audio_20250702_173300_00.wav,Mode1,audio_20250702_173300_00.wav,48000,48000,0,Mode1,0.9996730089187622,0,True,0.0034679999807849526,0.9996730089187622,0.00010265269520459697,3.48206413036678e-06,7.428750450344523e-06,7.671379535167944e-06,1.5272882592398673e-05,6.083792322897352e-05,5.155325766281749e-07,0.00011530100164236501,1.3759778994426597e-05
BC-ResNet-3,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173301_03.wav,Mode1/audio_20250702_173301_03.wav,Mode1,audio_20250702_173301_03.wav,48000,48000,0,Mode1,0.9994590878486633,0,True,0.003263457998400554,0.9994590878486633,0.00020712729019578546,4.244301180733601e-06,9.237452104571275e-06,1.3763895367446821e-05,1.3778209904558025e-05,7.032139546936378e-05,1.0112952395502361e-06,0.0002056410739896819,1.573488043504767e-05
BC-ResNet-3,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173302_06.wav,Mode1/audio_20250702_173302_06.wav,Mode1,audio_20250702_173302_06.wav,48000,48000,0,Mode1,0.9999059438705444,0,True,0.0034270830219611526,0.9999059438705444,1.4048228877072688e-05,9.651058689996717e-07,3.755535544769373e-06,3.704264372572652e-06,5.42077714271727e-06,2.9172273571020924e-05,4.4514146679830446e-07,2.7878246328327805e-05,8.582810551160946e-06
BC-ResNet-3,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173303_07.wav,Mode1/audio_20250702_173303_07.wav,Mode1,audio_20250702_173303_07.wav,48000,48000,0,Mode1,0.9995197057723999,0,True,0.00318400000105612,0.9995197057723999,0.0001316856942139566,2.8806634873035364e-06,1.7065243810066022e-05,9.071072781807743e-06,1.3044967090536375e-05,0.00018794366042129695,9.465399557484488e-07,9.84124926617369e-05,1.914469430630561e-05
